date,store_id,order_id,product_id,product_name,category,qty,price,discount,cost
2026-01-09,S01,ORD1001,P025,Шампунь 336,Косметика,4,145.06,0.12,68.33
2026-01-26,S02,ORD1001,P013,Обувь 452,Одежда,3,264.2,0.26,164.56
2026-01-25,S04,ORD1001,P028,Фрукты 831,Продукты,1,144.78,0.28,74.65
2026-01-08,S04,ORD1002,P003,Велосипед 587,Спорттовары,7,50.45,0.09,27.34
2026-01-12,S06,ORD1002,P010,Сыр 218,Продукты,10,95.91,0.07,46.52
2026-01-11,S01,ORD1002,P001,Машинка 380,Игрушки,6,95.43,0.22,55.66
2026-01-14,S03,ORD1002,P008,Планшет 671,Электроника,6,175.97,0.06,106.93
2026-01-15,S06,ORD1002,P030,Учебник 722,Книги,1,133.87,0.17,70.51
2026-01-11,S04,ORD1003,P003,Велосипед 587,Спорттовары,5,47.22,0.18,27.34
2026-01-11,S06,ORD1003,P014,Велосипед 249,Спорттовары,6,205.31,0.18,89.42
2026-01-15,S01,ORD1004,P013,Обувь 452,Одежда,5,301.27,0.2,164.56
2026-01-10,S04,ORD1004,P002,Велосипед 20,Спорттовары,8,169.75,0.15,70.77
2026-01-16,S01,ORD1005,P009,Ракетка 885,Спорттовары,2,119.62,0.18,64.37
2026-01-01,S03,ORD1005,P030,Учебник 722,Книги,5,-25.53,0.27,70.51
2026-01-21,S02,ORD1005,P014,Велосипед 249,Спорттовары,9,219.47,0.03,89.42
2025-12-28,S05,ORD1006,P030,Учебник 722,Книги,1,120.55,0.05,70.51
2026-01-04,S06,ORD1007,P005,Тушь 56,Косметика,7,80.79,0.21,54.42
2026-01-07,S05,ORD1007,P016,Футболка 476,Одежда,3,94.66,0.17,39.14
2026-01-03,S02,ORD1007,P027,Духи 975,Косметика,7,84.34,0.19,38.66
2026-01-18,S02,ORD1007,P009,Ракетка 885,Спорттовары,7,137.44,0.12,64.37
2026-01-05,S06,ORD1008,P021,Пазл 94,Игрушки,6,43.25,0.03,23.01
2025-12-28,S04,ORD1008,P026,Тушь 576,Косметика,8,77.37,0.09,56.91
2026-01-04,S03,ORD1008,P015,Пазл 138,Игрушки,7,150.21,0.07,73.72
2026-01-25,S04,ORD1008,P010,Сыр 218,Продукты,3,95.99,0.19,46.52
2026-01-07,S05,ORD1009,P030,Учебник 722,Книги,7,132.37,0.04,70.51
2026-01-25,S03,ORD1009,P028,Фрукты 831,Продукты,7,133.2,0.09,74.65
2026-01-27,S02,ORD1009,P001,Машинка 380,Игрушки,1,113.51,0.13,55.66
2026-01-25,S05,ORD1010,P024,Молоко 535,Продукты,6,149.47,0.1,95.23
2026-01-21,S03,ORD1011,P023,Мяч 526,Спорттовары,3,150.03,0.03,63.9
2026-01-27,S05,ORD1011,P028,Фрукты 831,Продукты,6,136.57,0.29,74.65
2026-01-03,S04,ORD1012,P015,Пазл 138,Игрушки,6,146.02,0.0,73.72
2026-01-23,S05,ORD1012,P024,Молоко 535,Продукты,7,124.6,0.06,95.23
2026-01-16,S02,ORD1012,P003,Велосипед 587,Спорттовары,6,54.23,0.17,27.34
2026-01-06,S03,ORD1012,P017,Пазл 934,Игрушки,8,114.5,0.29,48.73
2026-01-08,S03,ORD1012,P013,Обувь 452,Одежда,9,313.37,0.23,164.56
2026-01-14,S01,ORD1012,P020,Сыр 852,Продукты,5,70.01,0.15,41.59
2025-12-31,S06,ORD1013,P025,Шампунь 336,Косметика,10,149.38,0.02,68.33
2026-01-13,S01,ORD1013,P005,Тушь 56,Косметика,7,90.02,0.15,54.42
2025-12-31,S02,ORD1013,P023,Мяч 526,Спорттовары,4,164.06,0.12,63.9
2026-01-14,S05,ORD1014,P022,Ноутбук 326,Электроника,2,843.51,0.19,666.64
2026-01-04,S01,ORD1015,P014,Велосипед 249,Спорттовары,1,207.51,0.23,89.42
2026-01-14,S04,ORD1015,P010,Сыр 218,Продукты,1,102.16,0.22,46.52
2026-01-19,S01,ORD1016,P008,Планшет 671,Электроника,3,160.35,0.11,106.93
2026-01-02,S06,ORD1016,P001,Машинка 380,Игрушки,8,97.64,0.07,55.66
2026-01-18,S06,ORD1016,P023,Мяч 526,Спорттовары,1,142.51,0.15,63.9
2025-12-31,S06,ORD1016,P013,Обувь 452,Одежда,5,297.7,0.13,164.56
2026-01-20,S05,ORD1016,P026,Тушь 576,Косметика,3,74.2,0.29,56.91
2026-01-23,S05,ORD1016,P025,Шампунь 336,Косметика,4,142.12,0.12,68.33
2026-01-13,S02,ORD1017,P012,Кукла 282,Игрушки,10,164.44,0.17,95.39
2026-01-03,S02,ORD1017,P027,Духи 975,Косметика,8,75.22,0.2,38.66
2026-01-13,S05,ORD1018,P009,Ракетка 885,Спорттовары,5,120.69,0.21,64.37
2026-01-10,S06,ORD1018,P029,Джинсы 267,Одежда,6,104.89,0.01,65.05
2026-01-05,S03,ORD1019,P018,Детектив 359,Книги,9,148.75,0.11,81.01
2026-01-17,S01,ORD1019,P010,Сыр 218,Продукты,9,100.8,0.23,46.52
2026-01-26,S03,ORD1020,P002,Велосипед 20,Спорттовары,6,163.43,0.14,70.77
2026-01-26,S02,ORD1021,P024,Молоко 535,Продукты,5,135.35,0.24,95.23
2026-01-06,S02,ORD1022,P025,Шампунь 336,Косметика,3,143.8,0.16,68.33
2026-01-05,S05,ORD1022,P020,Сыр 852,Продукты,5,74.47,0.11,41.59
2026-01-12,S02,ORD1022,P017,Пазл 934,Игрушки,2,105.33,0.02,48.73
2026-01-01,S03,ORD1022,P007,Планшет 460,Электроника,5,466.08,0.22,335.42
2026-01-09,S05,ORD1023,P005,Тушь 56,Косметика,10,77.89,0.27,54.42
2026-01-15,S02,ORD1023,P011,Тушь 581,Косметика,10,132.89,0.22,64.99
2026-01-11,S01,ORD1023,P013,Обувь 452,Одежда,7,307.57,0.29,164.56
2025-12-28,S03,ORD1023,P018,Детектив 359,Книги,7,150.7,0.17,81.01
2026-01-08,S01,ORD1024,P011,Тушь 581,Косметика,2,136.21,0.8,64.99
2026-01-13,S01,ORD1024,P029,Джинсы 267,Одежда,4,98.36,0.27,65.05
2025-12-29,S04,ORD1025,P006,Молоко 255,Продукты,10,58.74,0.19,37.77
2026-01-06,S02,ORD1025,P002,Велосипед 20,Спорттовары,3,192.04,0.22,70.77
2026-01-13,S05,ORD1026,P015,Пазл 138,Игрушки,2,135.76,0.2,73.72
2026-01-16,S02,ORD1027,P006,Молоко 255,Продукты,1,62.9,0.24,37.77
2025-12-31,S04,ORD1027,P004,Учебник 814,Книги,3,103.85,0.22,46.39
2025-12-29,S06,ORD1027,P012,Кукла 282,,10,159.32,0.11,95.39
2026-01-26,S06,ORD1028,P019,Ракетка 236,Спорттовары,3,40.39,0.25,29.35
2026-01-15,S05,ORD1028,P005,Тушь 56,Косметика,4,90.56,0.14,54.42
2026-01-19,S03,ORD1028,P028,Фрукты 831,Продукты,10,140.38,0.04,74.65
2026-01-07,S06,ORD1029,P022,Ноутбук 326,Электроника,1,819.37,0.25,666.64
2026-01-22,S02,ORD1030,P027,Духи 975,Косметика,10,76.04,0.24,38.66
2026-01-01,S03,ORD1030,P011,Тушь 581,Косметика,4,135.12,0.28,64.99
2026-01-22,S05,ORD1030,P016,Футболка 476,Одежда,2,84.54,0.14,39.14
2026-01-10,S04,ORD1030,P021,Пазл 94,Игрушки,8,44.72,0.05,23.01
2026-01-23,S02,ORD1031,P018,Детектив 359,Книги,4,145.46,0.01,81.01
2026-01-02,S01,ORD1032,P026,Тушь 576,Косметика,6,81.31,0.12,56.91
2026-01-21,S02,ORD1033,P018,Детектив 359,Книги,6,-73.23,0.03,81.01
2026-01-17,S03,ORD1033,P008,Планшет 671,Электроника,6,178.04,0.28,106.93
2025-12-28,S04,ORD1034,P025,Шампунь 336,Косметика,4,146.46,0.3,68.33
2025-12-31,S03,ORD1034,P013,Обувь 452,Одежда,6,309.38,0.28,164.56
2026-01-27,S05,ORD1034,P015,Пазл 138,Игрушки,8,148.0,0.21,73.72
2026-01-19,S06,ORD1035,P001,Машинка 380,Игрушки,1,101.66,0.03,55.66
2026-01-05,S02,ORD1036,P001,Машинка 380,Игрушки,4,102.91,0.11,55.66
2026-01-21,S02,ORD1036,P011,Тушь 581,Косметика,8,132.76,0.28,64.99
2025-12-30,S02,ORD1037,P011,Тушь 581,Косметика,3,146.14,0.11,64.99
2026-01-09,S03,ORD1037,P001,Машинка 380,Игрушки,2,96.06,0.18,55.66
2026-01-03,S04,ORD1038,P001,Машинка 380,Игрушки,10,102.39,0.23,55.66
2026-01-27,S05,ORD1038,P018,Детектив 359,Книги,6,150.55,0.03,81.01
2026-01-14,S03,ORD1038,P002,Велосипед 20,Спорттовары,6,169.45,0.07,70.77
2026-01-20,S02,ORD1038,P016,Футболка 476,Одежда,4,93.02,0.21,39.14
2025-12-28,S03,ORD1039,P021,Пазл 94,Игрушки,4,44.87,0.05,23.01
2026-01-05,S01,ORD1039,P017,Пазл 934,Игрушки,9,106.82,0.14,48.73
2026-01-09,S03,ORD1039,P006,Молоко 255,Продукты,9,56.99,0.28,37.77
2025-12-31,S05,ORD1039,P008,Планшет 671,Электроника,3,172.11,0.02,106.93
2026-01-01,S02,ORD1040,P025,Шампунь 336,Косметика,1,155.62,0.23,68.33
2026-01-11,S06,ORD1040,P022,Ноутбук 326,,2,954.76,0.17,666.64
2026-01-22,S04,ORD1041,P013,Обувь 452,Одежда,9,313.76,0.14,164.56
