date,total_orders,total_revenue,total_profit,total_qty,avg_check
2025-12-28,28,20054.62,6432.22,173,716.24
2025-12-29,26,16909.25,5557.45,155,650.36
2025-12-30,26,16659.59,4977.02,145,640.75
2025-12-31,32,19105.29,7277.75,155,597.04
2026-01-01,25,11720.92,3198.89,133,468.84
2026-01-02,33,29011.06,9800.710000000001,188,879.12
2026-01-03,22,27588.27,8803.300000000001,152,1254.01
2026-01-04,24,15058.72,5222.12,116,627.45
2026-01-05,27,14994.28,5567.55,145,555.34
2026-01-06,33,19731.42,7568.1900000000005,179,597.92
2026-01-07,34,17507.46,6359.17,167,514.93
2026-01-08,35,26269.34,7543.96,177,750.55
2026-01-09,31,24033.23,6670.36,149,775.27
2026-01-10,44,27989.52,8402.1,222,636.13
2026-01-11,33,29998.56,8268.82,187,909.05
2026-01-12,33,23551.100000000002,7283.62,165,713.67
2026-01-13,39,28043.22,7052.39,201,719.06
2026-01-14,35,26242.579999999998,6084.05,203,749.79
2026-01-15,31,30051.16,7700.38,216,969.39
2026-01-16,31,24413.47,7598.1900000000005,189,787.53
2026-01-17,26,18397.4,2414.18,164,707.59
2026-01-18,36,26676.55,9772.94,203,741.02
2026-01-19,30,15911.96,5308.97,175,530.4
2026-01-20,32,42253.82,10261.789999999999,189,1320.43
2026-01-21,29,23994.2,8011.4400000000005,174,827.39
2026-01-22,26,23270.87,6004.76,160,895.03
2026-01-23,21,12784.0,4676.55,123,608.76
2026-01-24,23,20194.559999999998,4733.71,124,878.02
2026-01-25,30,24485.09,8026.34,170,816.17
2026-01-26,39,32764.239999999998,9824.93,216,840.11
2026-01-27,37,29773.57,7602.87,183,804.69
