product_id,product_name,category,revenue,profit,qty_sum
P022,Ноутбук 326,Электроника,117567.81999999999,6238.94,167
P007,Планшет 460,Электроника,86226.25,22831.87,189
P013,Обувь 452,Одежда,57563.36,18398.08,238
P002,Велосипед 20,Спорттовары,27489.170000000002,13830.56,193
P015,Пазл 138,Игрушки,23791.920000000002,9342.8,196
P014,Велосипед 249,Спорттовары,23632.5,12365.58,126
P008,Планшет 671,Электроника,22262.42,5474.41,157
P012,Кукла 282,Игрушки,21994.68,7400.01,153
P028,Фрукты 831,Продукты,21322.21,8183.8099999999995,176
P018,Детектив 359,Книги,20750.54,6816.82,172
